Matrix,Mode,Threads,Schedule,Chunk_size,avg_l1_load,avg_l1_miss,l1_miss_rate,avg_ll_load,avg_ll_miss,ll_miss_rate
atmosmodj.mtx, Sequential, NaN, NaN, NaN, 666942.80, 32333.20, 4.85, 5516.40, 2646.80, 47.98
atmosmodj.mtx, Parallel, 1, static, 10, 766549.80, 38966.00, 5.08, 6650.00, 3392.20, 51.01
atmosmodj.mtx, Parallel, 1, static, 100, 766550.60, 38875.40, 5.07, 6605.20, 1467.60, 22.22
atmosmodj.mtx, Parallel, 1, static, 1000, 766550.00, 38810.40, 5.06, 6623.20, 1578.80, 23.84
atmosmodj.mtx, Parallel, 1, dynamic, 10, 766550.00, 38904.60, 5.08, 6558.80, 1099.40, 16.76
atmosmodj.mtx, Parallel, 1, dynamic, 100, 766551.00, 38964.80, 5.08, 6579.80, 2164.80, 32.90
atmosmodj.mtx, Parallel, 1, dynamic, 1000, 766549.60, 38906.80, 5.08, 6620.20, 1265.40, 19.11
atmosmodj.mtx, Parallel, 1, guided, 10, 766550.00, 38922.40, 5.08, 6588.40, 1538.20, 23.35
atmosmodj.mtx, Parallel, 1, guided, 100, 766550.60, 38946.80, 5.08, 6571.60, 1788.00, 27.21
atmosmodj.mtx, Parallel, 1, guided, 1000, 766550.00, 38797.00, 5.06, 6615.80, 1105.40, 16.71
atmosmodj.mtx, Parallel, 2, static, 10, 766549.80, 38754.20, 5.06, 6624.20, 704.60, 10.64
atmosmodj.mtx, Parallel, 2, static, 100, 766550.40, 38897.00, 5.07, 6607.00, 1809.20, 27.38
atmosmodj.mtx, Parallel, 2, static, 1000, 766550.00, 39008.20, 5.09, 6614.00, 1717.20, 25.96
atmosmodj.mtx, Parallel, 2, dynamic, 10, 766549.80, 38885.00, 5.07, 6596.80, 621.80, 9.43
atmosmodj.mtx, Parallel, 2, dynamic, 100, 766551.20, 39116.60, 5.10, 6599.00, 1884.00, 28.55
atmosmodj.mtx, Parallel, 2, dynamic, 1000, 766550.00, 38966.60, 5.08, 6601.20, 1192.80, 18.07
atmosmodj.mtx, Parallel, 2, guided, 10, 766549.80, 38931.80, 5.08, 6618.60, 1462.20, 22.09
atmosmodj.mtx, Parallel, 2, guided, 100, 766551.00, 38837.20, 5.07, 6601.60, 2106.80, 31.91
atmosmodj.mtx, Parallel, 2, guided, 1000, 766550.40, 38991.40, 5.09, 6560.80, 1389.60, 21.18
atmosmodj.mtx, Parallel, 4, static, 10, 766549.80, 38803.20, 5.06, 6630.00, 1204.20, 18.16
atmosmodj.mtx, Parallel, 4, static, 100, 766550.80, 38817.60, 5.06, 6647.60, 392.20, 5.90
atmosmodj.mtx, Parallel, 4, static, 1000, 766550.00, 38811.80, 5.06, 6581.40, 1548.80, 23.53
atmosmodj.mtx, Parallel, 4, dynamic, 10, 766550.00, 38892.40, 5.07, 6597.80, 1553.60, 23.55
atmosmodj.mtx, Parallel, 4, dynamic, 100, 766551.20, 38863.20, 5.07, 6581.80, 1257.60, 19.11
atmosmodj.mtx, Parallel, 4, dynamic, 1000, 766549.80, 38977.20, 5.08, 6593.40, 1533.80, 23.26
atmosmodj.mtx, Parallel, 4, guided, 10, 766549.80, 38767.20, 5.06, 6633.80, 1238.20, 18.67
atmosmodj.mtx, Parallel, 4, guided, 100, 766551.00, 38889.00, 5.07, 6631.40, 908.60, 13.70
atmosmodj.mtx, Parallel, 4, guided, 1000, 766549.80, 39000.80, 5.09, 6620.00, 2082.20, 31.45
atmosmodj.mtx, Parallel, 8, static, 10, 766549.40, 38835.40, 5.07, 6610.60, 1745.40, 26.40
atmosmodj.mtx, Parallel, 8, static, 100, 766551.00, 38963.20, 5.08, 6595.60, 1292.20, 19.59
atmosmodj.mtx, Parallel, 8, static, 1000, 766549.80, 39109.00, 5.10, 6614.80, 1248.20, 18.87
atmosmodj.mtx, Parallel, 8, dynamic, 10, 766550.20, 38707.40, 5.05, 6586.60, 1205.00, 18.29
atmosmodj.mtx, Parallel, 8, dynamic, 100, 766550.80, 38870.60, 5.07, 6668.40, 220.20, 3.30
atmosmodj.mtx, Parallel, 8, dynamic, 1000, 766549.60, 39034.00, 5.09, 6602.40, 2401.20, 36.37
atmosmodj.mtx, Parallel, 8, guided, 10, 766549.80, 38968.80, 5.08, 6596.40, 1402.40, 21.26
atmosmodj.mtx, Parallel, 8, guided, 100, 766551.00, 38994.40, 5.09, 6628.80, 678.40, 10.23
atmosmodj.mtx, Parallel, 8, guided, 1000, 766549.80, 38837.60, 5.07, 6631.20, 1723.40, 25.99
atmosmodj.mtx, Parallel, 16, static, 10, 766555.00, 39124.40, 5.10, 6575.60, 1283.00, 19.51
atmosmodj.mtx, Parallel, 16, static, 100, 766556.00, 38781.60, 5.06, 6627.40, 1059.80, 15.99
atmosmodj.mtx, Parallel, 16, static, 1000, 766554.80, 38882.60, 5.07, 6560.40, 1872.40, 28.54
atmosmodj.mtx, Parallel, 16, dynamic, 10, 766555.00, 38984.00, 5.09, 6612.60, 1770.60, 26.78
atmosmodj.mtx, Parallel, 16, dynamic, 100, 766556.00, 38934.20, 5.08, 6613.40, 2075.80, 31.39
atmosmodj.mtx, Parallel, 16, dynamic, 1000, 766554.00, 38931.20, 5.08, 6562.40, 1141.40, 17.39
atmosmodj.mtx, Parallel, 16, guided, 10, 766554.80, 38906.80, 5.08, 6600.20, 998.40, 15.13
atmosmodj.mtx, Parallel, 16, guided, 100, 766556.00, 38855.40, 5.07, 6547.20, 1129.40, 17.25
atmosmodj.mtx, Parallel, 16, guided, 1000, 766555.00, 38783.20, 5.06, 6572.00, 858.20, 13.06
atmosmodj.mtx, Parallel, 32, static, 10, 766555.00, 38869.40, 5.07, 6641.80, 802.60, 12.08
atmosmodj.mtx, Parallel, 32, static, 100, 766556.00, 38859.00, 5.07, 6619.00, 2339.20, 35.34
atmosmodj.mtx, Parallel, 32, static, 1000, 766554.80, 38818.20, 5.06, 6599.40, 1296.80, 19.65
atmosmodj.mtx, Parallel, 32, dynamic, 10, 766554.40, 38975.40, 5.08, 6603.80, 1865.80, 28.25
atmosmodj.mtx, Parallel, 32, dynamic, 100, 766556.00, 38775.60, 5.06, 6610.80, 876.60, 13.26
