Matrix,Mode,Threads,Schedule,Chunk_size,p90_run_time,p90_speed_up,p90_efficiency
atmosmodj.mtx, Sequential, NaN, NaN, NaN, 9.776640, NaN, NaN
atmosmodj.mtx, Parallel, 1, static, 10, 10.203740, 0.96, 96.00
atmosmodj.mtx, Parallel, 1, static, 100, 10.157800, 0.96, 96.00
atmosmodj.mtx, Parallel, 1, static, 1000, 10.211970, 0.96, 96.00
atmosmodj.mtx, Parallel, 1, dynamic, 10, 11.487910, 0.85, 85.00
atmosmodj.mtx, Parallel, 1, dynamic, 100, 10.379340, 0.94, 94.00
atmosmodj.mtx, Parallel, 1, dynamic, 1000, 10.190060, 0.96, 96.00
atmosmodj.mtx, Parallel, 1, guided, 10, 10.123320, 0.97, 97.00
atmosmodj.mtx, Parallel, 1, guided, 100, 10.166930, 0.96, 96.00
atmosmodj.mtx, Parallel, 1, guided, 1000, 10.173800, 0.96, 96.00
atmosmodj.mtx, Parallel, 2, static, 10, 14.799140, 0.66, 33.00
atmosmodj.mtx, Parallel, 2, static, 100, 11.164550, 0.88, 44.00
atmosmodj.mtx, Parallel, 2, static, 1000, 9.085226, 1.08, 54.00
atmosmodj.mtx, Parallel, 2, dynamic, 10, 23.725010, 0.41, 20.50
atmosmodj.mtx, Parallel, 2, dynamic, 100, 9.667754, 1.01, 50.50
atmosmodj.mtx, Parallel, 2, dynamic, 1000, 8.038449, 1.22, 61.00
atmosmodj.mtx, Parallel, 2, guided, 10, 8.357501, 1.17, 58.50
atmosmodj.mtx, Parallel, 2, guided, 100, 8.329320, 1.17, 58.50
atmosmodj.mtx, Parallel, 2, guided, 1000, 8.355308, 1.17, 58.50
atmosmodj.mtx, Parallel, 4, static, 10, 15.280010, 0.64, 16.00
atmosmodj.mtx, Parallel, 4, static, 100, 8.130622, 1.20, 30.00
atmosmodj.mtx, Parallel, 4, static, 1000, 5.378890, 1.82, 45.50
atmosmodj.mtx, Parallel, 4, dynamic, 10, 20.482280, 0.48, 12.00
