Matrix,NumProcess,Iteration,ExecutionTime,CommunicationTime
twotone.mtx,1,1,0.003437,0.011219
twotone.mtx,1,2,0.003434,0.011130
twotone.mtx,1,3,0.003452,0.011666
twotone.mtx,1,4,0.003428,0.011133
twotone.mtx,1,5,0.003419,0.011141
twotone.mtx,1,6,0.003430,0.011143
twotone.mtx,1,7,0.003422,0.011634
twotone.mtx,1,8,0.003437,0.011152
twotone.mtx,1,9,0.003459,0.011117
twotone.mtx,1,10,0.003423,0.011138
twotone.mtx,2,1,0.028441,0.007694
twotone.mtx,2,2,0.028453,0.007697
twotone.mtx,2,3,0.028436,0.007501
twotone.mtx,2,4,0.028442,0.007423
twotone.mtx,2,5,0.028517,0.007039
twotone.mtx,2,6,0.028452,0.007387
twotone.mtx,2,7,0.028445,0.006294
twotone.mtx,2,8,0.028406,0.007592
twotone.mtx,2,9,0.028502,0.007498
twotone.mtx,2,10,0.028458,0.007570
twotone.mtx,4,1,0.021676,0.006302
twotone.mtx,4,2,0.021554,0.006347
twotone.mtx,4,3,0.021936,0.006379
twotone.mtx,4,4,0.021804,0.006644
twotone.mtx,4,5,0.021642,0.006329
twotone.mtx,4,6,0.021556,0.006280
twotone.mtx,4,7,0.021549,0.005890
twotone.mtx,4,8,0.021726,0.006301
twotone.mtx,4,9,0.021682,0.006280
twotone.mtx,4,10,0.021699,0.006335
twotone.mtx,8,1,0.011322,0.005751
twotone.mtx,8,2,0.010940,0.005854
twotone.mtx,8,3,0.010980,0.005872
twotone.mtx,8,4,0.011400,0.005863
twotone.mtx,8,5,0.011551,0.005891
twotone.mtx,8,6,0.011717,0.005876
twotone.mtx,8,7,0.011343,0.005897
twotone.mtx,8,8,0.011209,0.005811
twotone.mtx,8,9,0.010933,0.006295
twotone.mtx,8,10,0.011489,0.005873
twotone.mtx,16,1,0.005967,0.007504
twotone.mtx,16,2,0.005840,0.007560
twotone.mtx,16,3,0.006041,0.007582
twotone.mtx,16,4,0.006073,0.007507
twotone.mtx,16,5,0.005879,0.007745
twotone.mtx,16,6,0.005980,0.007743
twotone.mtx,16,7,0.005847,0.007563
twotone.mtx,16,8,0.005983,0.007618
twotone.mtx,16,9,0.005878,0.007487
twotone.mtx,16,10,0.005979,0.007445
twotone.mtx,32,1,0.002920,0.009807
twotone.mtx,32,2,0.002939,0.009698
twotone.mtx,32,3,0.002918,0.009909
twotone.mtx,32,4,0.002895,0.009782
twotone.mtx,32,5,0.002928,0.009990
twotone.mtx,32,6,0.002927,0.009646
twotone.mtx,32,7,0.002917,0.009737
twotone.mtx,32,8,0.002930,0.009773
twotone.mtx,32,9,0.002942,0.009689
twotone.mtx,32,10,0.002903,0.009926
twotone.mtx,64,1,0.001672,0.013479
twotone.mtx,64,2,0.001673,0.012971
twotone.mtx,64,3,0.001673,0.012700
twotone.mtx,64,4,0.001644,0.012483
twotone.mtx,64,5,0.001669,0.013266
twotone.mtx,64,6,0.001645,0.012678
twotone.mtx,64,7,0.001655,0.012757
twotone.mtx,64,8,0.001648,0.012993
twotone.mtx,64,9,0.001674,0.012550
twotone.mtx,64,10,0.001697,0.012444
twotone.mtx,128,1,0.000983,0.018640
twotone.mtx,128,2,0.000988,0.019360
twotone.mtx,128,3,0.000912,0.018274
twotone.mtx,128,4,0.000911,0.018817
twotone.mtx,128,5,0.000972,0.020783
twotone.mtx,128,6,0.000900,0.018329
twotone.mtx,128,7,0.000895,0.018434
twotone.mtx,128,8,0.000942,0.018529
twotone.mtx,128,9,0.000910,0.019462
twotone.mtx,128,10,0.000973,0.040423
