Matrix,NumProcess,ExecutionTime_P90,CommunicationTime_P90,Min_NNZ,Max_NNZ,Avg_NNZ,Imbalance_Ratio,Min_Comm,Max_Comm,Avg_Comm,GFLOPS,Efficiency,Speedup
atmosmodj.mtx,1,26.543379,0.004292,8814880,8814880,8814880.00,1.00,0,0,0.00,0.6642,1.0000,1.0000
atmosmodj.mtx,2,26.239872,7.063866,4407440,4407440,4407440.00,1.00,1270432,1270432,1270432.00,0.6719,0.3986,0.7971
atmosmodj.mtx,4,13.123751,6.896257,2199428,2208012,2203720.00,1.00,1253264,1270432,1261848.00,1.3433,0.3315,1.3261
atmosmodj.mtx,8,11.387110,5.709887,1099714,1104006,1101860.00,1.00,944240,952824,948532.00,1.5482,0.1941,1.5528
atmosmodj.mtx,16,7.675409,4.190445,549828,552032,550930.00,1.00,628720,633128,630924.00,2.2969,0.1398,2.2373
atmosmodj.mtx,32,10.499001,3.102779,274914,276016,275465.00,1.00,393762,395966,394864.00,1.6792,0.0610,1.9518
atmosmodj.mtx,64,11.054993,2.878428,137454,138010,137732.50,1.00,235208,236318,235764.00,1.5947,0.0298,1.9053
atmosmodj.mtx,128,17.890692,136.858463,68727,69007,68866.25,1.00,117604,118162,117882.00,0.9854,0.0013,0.1716
ML_Laplace.mtx,1,78.356504,0.004530,27689972,27689972,27689972.00,1.00,0,0,0.00,0.7068,1.0000,1.0000
ML_Laplace.mtx,2,111.701488,2.040625,13844986,13844986,13844986.00,1.00,377002,377002,377002.00,0.4958,0.3445,0.6889
ML_Laplace.mtx,4,77.806234,3.296614,6922152,6922834,6922493.00,1.00,565502,565504,565503.00,0.7118,0.2415,0.9662
ML_Laplace.mtx,8,44.665098,3.833055,3460592,3462242,3461246.50,1.00,659752,659758,659753.50,1.2399,0.2020,1.6158
ML_Laplace.mtx,16,23.887634,4.270077,1729652,1731240,1730623.25,1.00,706602,706810,706703.25,2.3184,0.1739,2.7829
ML_Laplace.mtx,32,13.697624,5.738497,864668,865706,865311.62,1.00,696101,696914,696382.00,4.0430,0.1260,4.0317
ML_Laplace.mtx,64,16.570091,42.416334,432176,432856,432655.81,1.00,563601,565206,564351.94,3.3422,0.0208,1.3285
ML_Laplace.mtx,128,44.369221,284.528255,216010,216542,216327.91,1.00,344530,346088,345259.12,1.2482,0.0019,0.2383
PR02R.mtx,1,23.500204,0.004292,8185136,8185136,8185136.00,1.00,0,0,0.00,0.6966,1.0000,1.0000
PR02R.mtx,2,26.834011,0.440836,1678111,6507025,4092568.00,1.59,65611,65611,65611.00,0.6101,0.4309,0.8618
PR02R.mtx,4,73.147535,0.634193,839020,5668005,2046284.00,2.77,98298,98303,98301.00,0.2238,0.0796,0.3186
PR02R.mtx,8,68.847179,0.777006,419499,5248506,1023142.00,5.13,107602,107673,107635.00,0.2378,0.0422,0.3376
PR02R.mtx,16,66.745758,0.761509,209709,5038750,511571.00,9.85,108728,108791,108756.88,0.2453,0.0218,0.3482
PR02R.mtx,32,67.077875,0.856638,104808,4933866,255785.50,19.29,108975,109060,109022.75,0.2440,0.0108,0.3460
PR02R.mtx,64,77.479124,1.195431,52377,4881474,127892.75,38.17,88992,89158,89077.75,0.2113,0.0047,0.2988
PR02R.mtx,128,81.821680,826.045275,26132,4855213,63946.38,75.93,48152,48515,48337.30,0.2001,0.0002,0.0259
torso1.mtx,1,24.164438,0.004292,8516500,8516500,8516500.00,1.00,0,0,0.00,0.7049,1.0000,1.0000
torso1.mtx,2,34.157991,0.521660,4257586,4258914,4258250.00,1.00,116158,116158,116158.00,0.4987,0.3485,0.6969
torso1.mtx,4,22.621155,0.997305,2125538,2132048,2129125.00,1.00,158933,158995,158965.00,0.7530,0.2558,1.0233
torso1.mtx,8,14.537811,0.622034,1062281,1067835,1064562.50,1.00,106655,107561,107093.50,1.1716,0.1993,1.5943
torso1.mtx,16,8.097649,0.344753,524919,537362,532281.25,1.01,61338,61889,61635.62,2.1035,0.1789,2.8628
torso1.mtx,32,4.118681,0.299454,258533,270976,266140.62,1.02,38539,38945,38742.56,4.1355,0.1709,5.4703
torso1.mtx,64,2.746582,0.386000,125340,137783,133070.31,1.04,27003,27486,27252.78,6.2015,0.1206,7.7153
torso1.mtx,128,15.342474,897.305489,45433,86792,66535.16,1.30,25645,27403,26526.77,1.1102,0.0002,0.0265
twotone.mtx,1,3.684282,0.002384,1224224,1224224,1224224.00,1.00,0,0,0.00,0.6646,1.0000,1.0000
twotone.mtx,2,5.483150,0.669718,606569,617655,612112.00,1.01,115483,115483,115483.00,0.4465,0.2996,0.5992
twotone.mtx,4,4.055500,0.844479,303268,308856,306056.00,1.01,153661,154053,153850.00,0.6037,0.1881,0.7524
twotone.mtx,8,3.016710,0.690699,151617,154495,153028.00,1.01,126293,129795,128024.25,0.8116,0.1243,0.9944
twotone.mtx,16,1.654863,0.405788,75797,77254,76514.00,1.01,79378,84264,81876.12,1.4795,0.1118,1.7891
twotone.mtx,32,1.038790,0.334263,37811,38743,38257.00,1.01,47886,51087,49425.81,2.3570,0.0839,2.6850
twotone.mtx,64,0.630617,0.367165,18818,19456,19128.50,1.02,26291,28522,27404.34,3.8826,0.0577,3.6949
twotone.mtx,128,3.397703,1072.277784,9381,9781,9564.25,1.02,14265,15917,15069.83,0.7206,0.0000,0.0034
